지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 이슬점온도(°C),평균 상대습도(%),일 최심적설(cm)
105,강릉시,2024-12-05,5.7,,-7.8,38.5,
105,강릉시,2024-12-06,4.8,,-11.8,30,
105,강릉시,2024-12-07,2.6,,-11.4,35.8,
105,강릉시,2024-12-08,2.4,,-11.7,35.3,
105,강릉시,2024-12-09,4.2,,-11,32.6,
105,강릉시,2024-12-10,5.1,,-8.2,38.3,
105,강릉시,2024-12-11,3.7,,-1.4,74.3,
105,강릉시,2024-12-12,4.1,,-3.7,59.9,
105,강릉시,2024-12-13,3.8,,-11.9,31,
105,강릉시,2024-12-14,1.5,,-12.4,34.9,
105,강릉시,2024-12-15,3,,-9,41.3,
105,강릉시,2024-12-16,2.3,,-10,41,
105,강릉시,2024-12-17,2.3,,-10.9,37.3,
105,강릉시,2024-12-18,0.7,,-8.2,52.4,
105,강릉시,2024-12-19,2.8,,-6.6,51.4,
105,강릉시,2024-12-20,4.6,,-9.2,37.3,
105,강릉시,2024-12-21,2.4,,-5.2,58.4,
105,강릉시,2024-12-22,-0.5,,-12.2,41.5,
105,강릉시,2024-12-23,3.3,,-11,34.8,
105,강릉시,2024-12-24,3.1,,-10.5,36.6,
105,강릉시,2024-12-25,4.9,,-7.9,39.8,
105,강릉시,2024-12-26,4.2,,-9.3,37.5,
105,강릉시,2024-12-27,-0.4,,-14.2,35.1,
105,강릉시,2024-12-28,-0.9,,-14.4,35.8,
105,강릉시,2024-12-29,3,,-9.9,39.3,
105,강릉시,2024-12-30,7.9,,-2.2,48.9,
105,강릉시,2024-12-31,4.5,,-11.5,31,
105,강릉시,2025-01-01,5,,-6,45,
105,강릉시,2025-01-02,3.6,,-10.3,36.3,
105,강릉시,2025-01-03,0.7,,-14.4,32.4,
105,강릉시,2025-01-04,2.2,,-10.9,38.6,
105,강릉시,2025-01-05,4.7,,-3.1,57.3,
105,강릉시,2025-01-06,3.3,,-2.8,65.8,
105,강릉시,2025-01-07,-0.9,,-13.3,39.3,
105,강릉시,2025-01-08,-0.9,,-13.5,38,
105,강릉시,2025-01-09,-7.2,,-21.8,30.8,
105,강릉시,2025-01-10,-4.4,,-17.7,35.1,
105,강릉시,2025-01-11,-1.4,,-11.2,47.3,
105,강릉시,2025-01-12,0.5,,-13,36.8,
105,강릉시,2025-01-13,2.5,,-8,46.5,
105,강릉시,2025-01-14,5.1,,-3.5,54.3,
105,강릉시,2025-01-15,-0.9,,-16.4,30,
105,강릉시,2025-01-16,1.3,,-8.1,49.5,
105,강릉시,2025-01-17,2.7,,-7.4,48.3,
105,강릉시,2025-01-18,6.2,,-11.6,28.3,
105,강릉시,2025-01-19,6.6,,-7.4,38.5,
105,강릉시,2025-01-20,4.7,,-1.9,63.1,
105,강릉시,2025-01-21,5.3,,-3.5,54.4,
105,강릉시,2025-01-22,6.2,,-4.2,47.9,
105,강릉시,2025-01-23,4,,-6.7,46.9,
105,강릉시,2025-01-24,3.1,,-1.4,73.8,
105,강릉시,2025-01-25,2.1,,1.2,94.4,
105,강릉시,2025-01-26,2.5,,-0.5,81.3,
105,강릉시,2025-01-27,1.9,,-3.7,68.5,
105,강릉시,2025-01-28,-1.5,,-9.4,55.3,
105,강릉시,2025-01-29,-2.3,,-13.1,43.6,
105,강릉시,2025-01-30,0.1,,-14.2,34,
105,강릉시,2025-01-31,3.9,,-3.3,59.6,
105,강릉시,2025-02-01,2.8,,-2,71,
105,강릉시,2025-02-02,3.6,,-1.3,71.3,
105,강릉시,2025-02-03,0,,-13.6,36.4,
105,강릉시,2025-02-04,-6,,-18.3,37.8,
105,강릉시,2025-02-05,-6.1,,-20.3,32.9,
105,강릉시,2025-02-06,-3.5,,-17,35.9,
105,강릉시,2025-02-07,-5.8,,-17.2,42.1,
105,강릉시,2025-02-08,-5.1,,-17.1,39.3,
105,강릉시,2025-02-09,-1.6,,-13.3,41.1,
105,강릉시,2025-02-10,0.2,,-12.3,38.9,
105,강릉시,2025-02-11,3.7,,-11.9,32,
105,강릉시,2025-02-12,5.3,,-5.6,46,
105,강릉시,2025-02-13,2.8,,-13.2,30.9,
105,강릉시,2025-02-14,7.5,,-7.2,35.5,
105,강릉시,2025-02-15,7.9,,-11.3,25.9,
105,강릉시,2025-02-16,8.3,,-4,42.9,
105,강릉시,2025-02-17,2.2,,-12.3,34.8,
105,강릉시,2025-02-18,0.3,,-16,29.6,
105,강릉시,2025-02-19,-0.7,,-13.2,38.4,
105,강릉시,2025-02-20,-0.8,,-12.4,41.8,
105,강릉시,2025-02-21,0,,-13.5,35.8,
105,강릉시,2025-02-22,-0.2,,-12.5,39.3,
105,강릉시,2025-02-23,-0.9,,-15.4,33.5,
105,강릉시,2025-02-24,1.5,,-13.4,32.6,
105,강릉시,2025-02-25,4.9,,-9.3,35.6,
105,강릉시,2025-02-26,7.4,,-9.5,31.3,
105,강릉시,2025-02-27,10.3,,-13.6,17.5,
105,강릉시,2025-02-28,12.4,,-3.3,34.3,
105,강릉시,2025-03-01,10.8,,-0.4,47.8,
105,강릉시,2025-03-02,6.1,,1.1,74.4,
105,강릉시,2025-03-03,1.6,,-2.7,74.4,
105,강릉시,2025-03-04,2,,-0.7,83.5,
105,강릉시,2025-03-05,1.8,,0.8,93.9,
105,강릉시,2025-03-06,2.7,,-0.8,78.4,
105,강릉시,2025-03-07,3.9,,-1.2,70.3,
105,강릉시,2025-03-08,6.1,,-0.8,63,
105,강릉시,2025-03-09,6.6,,-2.3,54.4,
105,강릉시,2025-03-10,10.9,,-2.6,40.8,
105,강릉시,2025-03-11,12.6,,-4.3,31.6,
105,강릉시,2025-03-12,14,,-0.5,37.1,
105,강릉시,2025-03-13,10.3,,-6,32.9,
105,강릉시,2025-03-14,8.6,,-0.6,53.6,
105,강릉시,2025-03-15,7.4,,1.7,67.6,
105,강릉시,2025-03-16,4.6,,2.4,86.6,
105,강릉시,2025-03-17,2.9,,-3.7,66.1,
105,강릉시,2025-03-18,1.3,,-1.7,81.1,
105,강릉시,2025-03-19,2.7,,-5.1,58,
105,강릉시,2025-03-20,10.3,,-2.3,42.1,
105,강릉시,2025-03-21,15.9,,0.1,35.6,
105,강릉시,2025-03-22,19.2,,0,28.3,
105,강릉시,2025-03-23,12.8,,6.1,66.5,
105,강릉시,2025-03-24,17.8,,3.9,45.9,
105,강릉시,2025-03-25,13.7,,5.6,60.1,
105,강릉시,2025-03-26,11.4,,6.6,73.8,
105,강릉시,2025-03-27,9.1,,6.5,84.5,
105,강릉시,2025-03-28,4.8,,3.3,90.5,
105,강릉시,2025-03-29,4.3,,-8.7,41,
105,강릉시,2025-03-30,4.4,,-10.3,35.3,
105,강릉시,2025-03-31,8.7,,-2.7,45.1,
105,강릉시,2025-04-01,12.1,,-3,36.1,
105,강릉시,2025-04-02,9.3,,3.1,66.3,
105,강릉시,2025-04-03,8.6,,4,74.1,
105,강릉시,2025-04-04,10.2,,3.4,65.3,
105,강릉시,2025-04-05,10.6,,4.6,68.8,
105,강릉시,2025-04-06,13,,1.2,47,
105,강릉시,2025-04-07,15.4,,2.1,41.8,
105,강릉시,2025-04-08,14.8,,2.6,44.9,
105,강릉시,2025-04-09,12.8,,5.3,61.6,
105,강릉시,2025-04-10,12.5,,6.3,67.5,
105,강릉시,2025-04-11,15.8,,4.4,50.5,
105,강릉시,2025-04-12,15.2,,6.9,59.1,
105,강릉시,2025-04-13,7.4,,-0.4,58.4,
105,강릉시,2025-04-14,6.8,,0.3,64.4,
105,강릉시,2025-04-15,11.1,,-0.6,46.8,
105,강릉시,2025-04-16,18.4,,3.9,39.9,
105,강릉시,2025-04-17,18.8,,7.7,50,
105,강릉시,2025-04-18,18.5,,10.5,61.3,
105,강릉시,2025-04-19,12.8,,9.2,80,
105,강릉시,2025-04-20,12.6,,8.9,79.6,
105,강릉시,2025-04-21,16.3,,9.2,67.1,
105,강릉시,2025-04-22,11.9,,10.8,93.3,
105,강릉시,2025-04-23,10.1,,7.7,85.8,
105,강릉시,2025-04-24,16.2,,4.4,53.6,
105,강릉시,2025-04-25,15,,-3.6,28,
105,강릉시,2025-04-26,18.9,,-0.1,28.5,
105,강릉시,2025-04-27,20.4,,-1,24,
105,강릉시,2025-04-28,15.1,,3.5,49.4,
105,강릉시,2025-04-29,14.6,,0,39.3,
105,강릉시,2025-04-30,21.7,,5.4,35,
105,강릉시,2025-05-01,18.7,,6.5,48.3,
105,강릉시,2025-05-02,15.1,,3.6,47,
105,강릉시,2025-05-03,13.8,,5.9,59.8,
105,강릉시,2025-05-04,16.8,,1.3,38.9,
105,강릉시,2025-05-05,13.4,,5.2,59.9,
105,강릉시,2025-05-06,12.5,,6.9,70,
105,강릉시,2025-05-07,14.8,,6.1,58.9,
105,강릉시,2025-05-08,18.5,,9.8,58.8,
105,강릉시,2025-05-09,15.3,,11.1,79.9,
105,강릉시,2025-05-10,13.7,,10.9,83.8,
105,강릉시,2025-05-11,16.5,,10.5,68.1,
105,강릉시,2025-05-12,21.6,,7.2,41.5,
105,강릉시,2025-05-13,25.2,,5.8,29.3,
105,강릉시,2025-05-14,26.1,,6.2,28.9,
105,강릉시,2025-05-15,24.3,,15.3,58,
105,강릉시,2025-05-16,24.5,,17,64.4,
105,강릉시,2025-05-17,22.9,,15.1,64.8,
105,강릉시,2025-05-18,18.8,,7.2,47.6,
105,강릉시,2025-05-19,21.1,,7.5,43.4,
105,강릉시,2025-05-20,28,,18.7,57.5,
105,강릉시,2025-05-21,19.5,,15.1,76.9,
105,강릉시,2025-05-22,16.2,,10.5,70.9,
105,강릉시,2025-05-23,15.2,,10.6,74.5,
105,강릉시,2025-05-24,12.7,,11.1,90.5,
105,강릉시,2025-05-25,15.7,,10.8,74.3,
105,강릉시,2025-05-26,19.2,,12.2,65.6,
105,강릉시,2025-05-27,20,,12.3,62,
105,강릉시,2025-05-28,16.7,,14.3,86.4,
105,강릉시,2025-05-29,16.8,,13.4,81.1,
105,강릉시,2025-05-30,16.4,,10.8,70.4,
105,강릉시,2025-05-31,18.8,,8.3,53.3,
105,강릉시,2025-06-01,17.7,,13.1,75.3,
105,강릉시,2025-06-02,19.9,,15.7,77.9,
105,강릉시,2025-06-03,22.1,,13.3,58.4,
105,강릉시,2025-06-04,21.3,,8.2,45,
105,강릉시,2025-06-05,24.8,,10.7,42,
105,강릉시,2025-06-06,28.6,,9.4,30.5,
105,강릉시,2025-06-07,26,,13.7,48.3,
105,강릉시,2025-06-08,23.9,,17,66,
105,강릉시,2025-06-09,25.7,,17.8,63,
105,강릉시,2025-06-10,27.3,,15.4,49,
105,강릉시,2025-06-11,25,,11.3,43.5,
105,강릉시,2025-06-12,24,,13.4,52.5,
105,강릉시,2025-06-13,23.7,,16.9,66.6,
105,강릉시,2025-06-14,23.7,,17.9,71.9,
105,강릉시,2025-06-15,20.4,,18.2,87.8,
105,강릉시,2025-06-16,23.8,,19.4,78.5,
106,동해시,2023-01-01,5.3,,-13.7,26,
106,동해시,2023-01-02,2,,-16.9,24,
106,동해시,2023-01-03,2.4,,-19.8,18,
106,동해시,2023-01-04,2.7,,-19.8,18,
106,동해시,2023-01-05,3.9,,-12.4,30.1,
106,동해시,2023-01-06,5.1,,-9.6,34.4,
106,동해시,2023-01-07,5.5,,-4.6,48.4,
106,동해시,2023-01-08,5.1,,-7.7,40,
106,동해시,2023-01-09,7.5,,-1.9,51.9,
106,동해시,2023-01-10,6.5,,-2.4,54.3,
106,동해시,2023-01-11,9.2,,-9.7,26.5,
106,동해시,2023-01-12,11.2,,-5.4,33.8,
106,동해시,2023-01-13,9.6,,6.4,84.1,
106,동해시,2023-01-14,5.8,,5.3,97,
106,동해시,2023-01-15,2.5,,1.9,96.1,
106,동해시,2023-01-16,1.4,,-5,63,
106,동해시,2023-01-17,0.3,,-9.5,48.9,
106,동해시,2023-01-18,1.2,,-7.8,51.8,
106,동해시,2023-01-19,2.3,,-9.7,41.1,
106,동해시,2023-01-20,2.3,,-15.7,27.4,
106,동해시,2023-01-21,-0.6,,-16.9,29.1,
106,동해시,2023-01-22,2,,-9.1,45.3,
106,동해시,2023-01-23,4.4,,-5.6,49.8,
106,동해시,2023-01-24,-7.1,,-24.5,23.8,
106,동해시,2023-01-25,-5.9,,-24.4,23,
106,동해시,2023-01-26,-1.3,,-10.1,51.3,
106,동해시,2023-01-27,-2.2,,-17,31.8,
106,동해시,2023-01-28,-2.7,,-18.8,28.4,
106,동해시,2023-01-29,1.3,,-11.1,41.3,
106,동해시,2023-01-30,1.4,,-12,36.6,
106,동해시,2023-01-31,5.5,,-8.7,36,
106,동해시,2023-02-01,6.3,,-9.1,33.6,
106,동해시,2023-02-02,1.2,,-8.4,50.4,
106,동해시,2023-02-03,1.9,,-5.9,56.5,
106,동해시,2023-02-04,2.9,,-14.7,26.9,
106,동해시,2023-02-05,4.6,,-10.8,33.4,
106,동해시,2023-02-06,5.9,,-5.3,44.8,
106,동해시,2023-02-07,5.2,,-1,64.8,
106,동해시,2023-02-08,3.4,,-1.2,72.9,
106,동해시,2023-02-09,3.8,,-2.2,65.3,
106,동해시,2023-02-10,4.1,,2.7,91.5,
106,동해시,2023-02-11,5,,0.5,73.9,
106,동해시,2023-02-12,6.6,,-1.7,57.6,
106,동해시,2023-02-13,4.2,,1.2,82.8,
106,동해시,2023-02-14,1.2,,-0.8,87.4,
106,동해시,2023-02-15,0.6,,-0.1,95.5,
106,동해시,2023-02-16,3.1,,-2.8,67.8,
106,동해시,2023-02-17,6.3,,-4.7,45.9,
106,동해시,2023-02-18,7.4,,-0.6,57.9,
106,동해시,2023-02-19,8.3,,-6.8,34.4,
106,동해시,2023-02-20,3.3,,-13.8,29.3,
106,동해시,2023-02-21,0.7,,-9.2,48.5,
106,동해시,2023-02-22,4.5,,-6.7,46,
106,동해시,2023-02-23,7,,-4.3,45.4,
106,동해시,2023-02-24,5.6,,-2.9,57.6,
106,동해시,2023-02-25,1.6,,-0.6,86.3,
106,동해시,2023-02-26,3.5,,-4.8,56.5,
106,동해시,2023-02-27,8.9,,-7.7,34,
106,동해시,2023-02-28,12,,-8.3,24.5,
106,동해시,2023-03-01,8.9,,-2.6,45.4,
106,동해시,2023-03-02,3.8,,-8,42.4,
106,동해시,2023-03-03,9.6,,-7.6,30.5,
106,동해시,2023-03-04,7.6,,0.4,61.9,
106,동해시,2023-03-05,8.2,,2.7,69.4,
106,동해시,2023-03-06,13.3,,-4.9,30.9,
106,동해시,2023-03-07,15.7,,-0.7,33.8,
106,동해시,2023-03-08,17.5,,-1.8,28,
106,동해시,2023-03-09,9.7,,7.5,86.8,
106,동해시,2023-03-10,11.2,,8.6,84.8,
106,동해시,2023-03-11,10.1,,8.9,92.8,
106,동해시,2023-03-12,9.2,,2.5,65.8,
106,동해시,2023-03-13,5.1,,-12.5,28.1,
106,동해시,2023-03-14,10.6,,-5.3,32.5,
106,동해시,2023-03-15,16.1,,-0.7,33.3,
106,동해시,2023-03-16,7.7,,-6,39.5,
106,동해시,2023-03-17,7.2,,-2.2,52.1,
106,동해시,2023-03-18,9.1,,2.3,63.9,
106,동해시,2023-03-19,10.6,,-0.6,47.8,
106,동해시,2023-03-20,12.4,,-0.3,42.6,
106,동해시,2023-03-21,13.8,,1.3,45.5,
106,동해시,2023-03-22,13.2,,8.4,74.5,
106,동해시,2023-03-23,11.3,,10.5,95.5,
106,동해시,2023-03-24,9,,5.1,78.1,
106,동해시,2023-03-25,8.6,,4.7,76.9,
106,동해시,2023-03-26,8,,4.1,77.3,
106,동해시,2023-03-27,7.7,,2.1,69.3,
106,동해시,2023-03-28,9.9,,0.3,52.4,
106,동해시,2023-03-29,12.1,,2.6,53.1,
106,동해시,2023-03-30,17.5,,-4.7,24,
106,동해시,2023-03-31,15.3,,3.3,52.1,
106,동해시,2023-04-01,12.7,,8.3,75.6,
106,동해시,2023-04-02,11.4,,7.6,78.1,
106,동해시,2023-04-03,11.7,,6,68.9,
106,동해시,2023-04-04,12.3,,8.7,80.4,
106,동해시,2023-04-05,12.9,,11.9,94,
106,동해시,2023-04-06,14,,8,67.6,
106,동해시,2023-04-07,12.9,,-0.5,40.6,
106,동해시,2023-04-08,12,,-9.6,21.9,
106,동해시,2023-04-09,14.1,,-4,29,
106,동해시,2023-04-10,17.5,,-3.3,25,
106,동해시,2023-04-11,19.7,,3.9,36.1,
106,동해시,2023-04-12,14.2,,-10.4,18.1,
106,동해시,2023-04-13,17,,-6.2,20.9,
106,동해시,2023-04-14,15.8,,4.4,50.8,
106,동해시,2023-04-15,10.5,,7.7,83.4,
106,동해시,2023-04-16,9.8,,6.5,80.1,
106,동해시,2023-04-17,12.1,,5.7,66.4,
106,동해시,2023-04-18,12.9,,10.2,84.5,
106,동해시,2023-04-19,14.8,,10,73.8,
106,동해시,2023-04-20,22.3,,10.9,50,
106,동해시,2023-04-21,13.9,,2.1,45.9,
106,동해시,2023-04-22,11.7,,4.6,63.3,
106,동해시,2023-04-23,12.1,,6.2,68.3,
106,동해시,2023-04-24,12.7,,5,60.3,
106,동해시,2023-04-25,11.4,,5,66,
106,동해시,2023-04-26,12.2,,4.2,60,
106,동해시,2023-04-27,13.4,,6.3,63.3,
106,동해시,2023-04-28,17.2,,6.6,51.3,
106,동해시,2023-04-29,17,,9.2,62.4,
106,동해시,2023-04-30,16.3,,2.6,41.8,
106,동해시,2023-05-01,14.3,,3.8,51.6,
106,동해시,2023-05-02,16.4,,5.1,48.5,
106,동해시,2023-05-03,18.7,,5.6,44.3,
106,동해시,2023-05-04,19.5,,10.5,57.4,
106,동해시,2023-05-05,15,,12.9,88,
106,동해시,2023-05-06,10.8,,10.5,98.1,
106,동해시,2023-05-07,11.5,,7.5,77.1,
106,동해시,2023-05-08,12.7,,3.9,58.3,
106,동해시,2023-05-09,20.8,,5.1,37.6,
106,동해시,2023-05-10,17.2,,10.2,66.1,
106,동해시,2023-05-11,15.7,,11.6,78.1,
106,동해시,2023-05-12,16.2,,12.5,79.5,
106,동해시,2023-05-13,15.8,,12.3,80.9,
106,동해시,2023-05-14,15.8,,12.6,82.1,
106,동해시,2023-05-15,17.3,,12.3,76.5,
106,동해시,2023-05-16,25.9,,11,41.4,
106,동해시,2023-05-17,26,,6.6,30.6,
106,동해시,2023-05-18,20.4,,13.1,64.4,
106,동해시,2023-05-19,15.8,,13.2,85.5,
106,동해시,2023-05-20,17.2,,13.3,79.3,
106,동해시,2023-05-21,20.8,,11.5,55.9,
106,동해시,2023-05-22,17.9,,9.1,59.3,
106,동해시,2023-05-23,15.9,,8.4,62.1,
106,동해시,2023-05-24,17.9,,8.9,56.5,
106,동해시,2023-05-25,18.2,,10.6,62.1,
106,동해시,2023-05-26,18.5,,12.3,68.5,
106,동해시,2023-05-27,19.7,,14.8,75.5,
106,동해시,2023-05-28,16.9,,16.7,99,
106,동해시,2023-05-29,17.4,,17.2,99,
106,동해시,2023-05-30,17.1,,16.5,96.9,
106,동해시,2023-05-31,17.3,,13.3,78.9,
106,동해시,2023-06-01,19.7,,13.8,70.3,
106,동해시,2023-06-02,19.6,,15.2,76.8,
106,동해시,2023-06-03,22.1,,9.3,50.6,
106,동해시,2023-06-04,24.4,,7.1,34.3,
106,동해시,2023-06-05,25,,10.5,40.8,
106,동해시,2023-06-06,22.2,,12.3,54.6,
106,동해시,2023-06-07,22.6,,14.2,59.9,
106,동해시,2023-06-08,22.9,,14.1,61,
106,동해시,2023-06-09,19.3,,13.6,71.8,
106,동해시,2023-06-10,18.6,,15.9,84.8,
106,동해시,2023-06-11,18.1,,17.1,94.3,
106,동해시,2023-06-12,19,,17.9,93.5,
106,동해시,2023-06-13,19.7,,18.4,93.1,
106,동해시,2023-06-14,18.6,,17.5,93.5,
106,동해시,2023-06-15,19.5,,18.1,92,
106,동해시,2023-06-16,22.8,,17.4,73.1,
106,동해시,2023-06-17,26.1,,14.9,51.4,
106,동해시,2023-06-18,24.2,,17.8,69.3,
106,동해시,2023-06-19,21.8,,19.7,88.5,
106,동해시,2023-06-20,20.4,,17.7,85.5,
106,동해시,2023-06-21,18.9,,17.7,93.4,
106,동해시,2023-06-22,19.3,,17.6,90.3,
106,동해시,2023-06-23,20.6,,17.9,85.6,
106,동해시,2023-06-24,20.6,,18.1,86.8,
106,동해시,2023-06-25,21,,19.6,92.5,
106,동해시,2023-06-26,20.5,,20.3,99,
106,동해시,2023-06-27,26,,19,68.1,
106,동해시,2023-06-28,27.5,,18.6,59.1,
106,동해시,2023-06-29,24,,21.2,85.8,
106,동해시,2023-06-30,21,,20.6,98.3,
106,동해시,2023-07-01,22.2,,20.9,92.9,
106,동해시,2023-07-02,25.4,,20.5,76.1,
106,동해시,2023-07-03,22.6,,21.7,95.4,
106,동해시,2023-07-04,23.2,,22,93.4,
106,동해시,2023-07-05,27.1,,18.6,63.4,
106,동해시,2023-07-06,29.8,,17.5,48.5,
106,동해시,2023-07-07,23.4,,17.6,71.4,
106,동해시,2023-07-08,21.3,,19.9,92,
106,동해시,2023-07-09,21.4,,21,97.8,
106,동해시,2023-07-10,27.5,,21.6,72.4,
106,동해시,2023-07-11,24.6,,21.7,85.4,
106,동해시,2023-07-12,24.6,,22.2,87.1,
106,동해시,2023-07-13,23.4,,23.2,99,
106,동해시,2023-07-14,24.4,,24,98.1,
106,동해시,2023-07-15,22.4,,22.2,99,
106,동해시,2023-07-16,23.9,,23.3,97,
106,동해시,2023-07-17,25,,23.6,92.1,
106,동해시,2023-07-18,23.1,,22.9,99,
106,동해시,2023-07-19,22.8,,22.4,97.8,
106,동해시,2023-07-20,22.6,,22.1,97.6,
106,동해시,2023-07-21,23.4,,22.9,97.3,
106,동해시,2023-07-22,24,,23.2,95.5,
106,동해시,2023-07-23,24.3,,23.9,97.9,
106,동해시,2023-07-24,24.8,,24,95.8,
106,동해시,2023-07-25,27.4,,22.4,75.1,
106,동해시,2023-07-26,27,,22.2,76.1,
106,동해시,2023-07-27,26.6,,22.5,79.4,
106,동해시,2023-07-28,27.4,,24.2,83.4,
106,동해시,2023-07-29,26.5,,24.4,89.3,
106,동해시,2023-07-30,27.2,,23.6,82,
106,동해시,2023-07-31,27.8,,22.9,75.5,
106,동해시,2023-08-01,26.2,,23.5,86.5,
106,동해시,2023-08-02,29.1,,22.9,70.8,
106,동해시,2023-08-03,30.2,,21,59.4,
106,동해시,2023-08-04,30.1,,22.4,64.4,
106,동해시,2023-08-05,28.5,,23.6,76.1,
106,동해시,2023-08-06,26.7,,26,96.3,
106,동해시,2023-08-07,25.7,,23.7,89.3,
106,동해시,2023-08-08,23.7,,22,90.8,
106,동해시,2023-08-09,22.2,,21.7,97.4,
106,동해시,2023-08-10,22.7,,22.2,97.6,
106,동해시,2023-08-11,25.8,,21.6,80.3,
106,동해시,2023-08-12,23.7,,22.9,95.6,
106,동해시,2023-08-13,23.5,,22.7,95.6,
106,동해시,2023-08-14,23.7,,22.6,93.9,
106,동해시,2023-08-15,22.7,,21.8,95.1,
106,동해시,2023-08-16,23.5,,21.5,89.3,
106,동해시,2023-08-17,23.4,,22.6,95.6,
106,동해시,2023-08-18,23.8,,22.9,95.4,
106,동해시,2023-08-19,24.5,,23.5,94.8,
106,동해시,2023-08-20,24.5,,23.9,97,
106,동해시,2023-08-21,25.8,,24.7,94,
106,동해시,2023-08-22,28,,23.2,77.5,
106,동해시,2023-08-23,25.1,,22.6,86.9,
106,동해시,2023-08-24,22.2,,22,99,
106,동해시,2023-08-25,23.7,,22.4,93.3,
106,동해시,2023-08-26,24.6,,20.1,77.3,
106,동해시,2023-08-27,23.1,,21.1,89.3,
106,동해시,2023-08-28,22.4,,21.4,94.3,
106,동해시,2023-08-29,25.6,,23.7,90.5,
106,동해시,2023-08-30,22.8,,22.6,99,
106,동해시,2023-08-31,22.3,,21.2,94.1,
106,동해시,2023-09-01,22.5,,19.1,82.4,
106,동해시,2023-09-02,22.4,,20.2,88.3,
106,동해시,2023-09-03,23.4,,22.4,94.1,
106,동해시,2023-09-04,23.6,,22.5,94.1,
106,동해시,2023-09-05,23.4,,22.4,94.4,
106,동해시,2023-09-06,23,,21.2,90.4,
106,동해시,2023-09-07,22.3,,18.9,82.1,
106,동해시,2023-09-08,21.8,,19.2,86.1,
106,동해시,2023-09-09,21.1,,18,83.9,
106,동해시,2023-09-10,22.2,,18.5,80.9,
106,동해시,2023-09-11,22.8,,20.4,87.3,
106,동해시,2023-09-12,25,,22,84.8,
106,동해시,2023-09-13,20.9,,20.6,98.8,
106,동해시,2023-09-14,20.6,,20.4,99,
106,동해시,2023-09-15,21.2,,21,99,
106,동해시,2023-09-16,22,,21.8,99,
106,동해시,2023-09-17,22.8,,22.3,97.5,
106,동해시,2023-09-18,24.3,,22.4,90.5,
106,동해시,2023-09-19,24.7,,18.4,69.6,
106,동해시,2023-09-20,20.6,,19.3,92.8,
106,동해시,2023-09-21,17.8,,15,84.9,
106,동해시,2023-09-22,18.4,,14.2,79,
106,동해시,2023-09-23,20.7,,15.6,73.8,
106,동해시,2023-09-24,20.3,,12.9,63.6,
106,동해시,2023-09-25,20.2,,17.2,84.3,
106,동해시,2023-09-26,19.8,,19.6,99,
106,동해시,2023-09-27,21.1,,20.8,98.4,
106,동해시,2023-09-28,22.4,,18.9,82.1,
106,동해시,2023-09-29,19.9,,15.4,77,
106,동해시,2023-09-30,20,,14.2,71,
106,동해시,2023-10-01,18.6,,10.1,59.1,
106,동해시,2023-10-02,17.3,,8.3,58.3,
106,동해시,2023-10-03,17,,11.6,71.6,
106,동해시,2023-10-04,19.2,,10.6,59.6,
106,동해시,2023-10-05,15.9,,4.2,46.1,
106,동해시,2023-10-06,15.1,,7,60.3,
106,동해시,2023-10-07,16.3,,10.7,71.6,
106,동해시,2023-10-08,16.4,,13.1,83,
106,동해시,2023-10-09,16.3,,13.6,85.6,
106,동해시,2023-10-10,17.1,,12,73.9,
106,동해시,2023-10-11,16,,10.8,74,
106,동해시,2023-10-12,16.3,,12.8,80.9,
106,동해시,2023-10-13,17,,13,78.9,
106,동해시,2023-10-14,16,,11.1,73.9,
106,동해시,2023-10-15,18.2,,8.5,54.3,
106,동해시,2023-10-16,16.2,,11.3,73.8,
106,동해시,2023-10-17,14.6,,6.5,60.5,
106,동해시,2023-10-18,17.5,,7.1,52,
106,동해시,2023-10-19,17.2,,10.7,66.9,
106,동해시,2023-10-20,14.6,,-0.2,38,
106,동해시,2023-10-21,10.9,,0.6,51.5,
106,동해시,2023-10-22,14.6,,1.8,45.8,
106,동해시,2023-10-23,16,,7.4,58.9,
106,동해시,2023-10-24,16.3,,8.6,61.1,
106,동해시,2023-10-25,17.6,,9.1,58.5,
106,동해시,2023-10-26,18.5,,9.6,56.9,
106,동해시,2023-10-27,13.5,,10.3,82.3,
106,동해시,2023-10-28,12.7,,10.2,86.3,
106,동해시,2023-10-29,13.2,,9.6,81,
106,동해시,2023-10-30,15,,8.5,67,
106,동해시,2023-10-31,18.1,,6.2,47.5,
106,동해시,2023-11-01,19.9,,11.2,57.8,
106,동해시,2023-11-02,21.4,,9.7,52.3,
106,동해시,2023-11-03,21.2,,9.8,54.4,
106,동해시,2023-11-04,15.6,,15.3,98.8,
106,동해시,2023-11-05,16.5,,16,96.9,
106,동해시,2023-11-06,18.2,,8.5,55.9,
106,동해시,2023-11-07,11.9,,-2.8,37.3,
106,동해시,2023-11-08,10.9,,5,68.3,
106,동해시,2023-11-09,14.9,,8.9,69.6,
106,동해시,2023-11-10,12.6,,1.3,48,
106,동해시,2023-11-11,7.7,,-3.2,46.3,
106,동해시,2023-11-12,6,,-9.1,34.3,
106,동해시,2023-11-13,6.6,,-8.9,32.8,
106,동해시,2023-11-14,7.5,,-4.4,43.6,
106,동해시,2023-11-15,8.1,,-1.2,53.4,
106,동해시,2023-11-16,9.1,,1.9,61,
